Seconds lapsed,tank level,tank inflow
7470,1898,19.230783462524414
7480,1875,17.738149642944336
7490,1872,19.70642852783203
7500,1952,28.07085418701172
7510,1950,19.828359603881836
7520,1945,19.504207611083984
7530,1961,21.636188507080078
7540,1936,17.549699783325195
7550,1908,17.24991798400879
7560,1925,21.71253776550293
7570,1940,21.515914916992188
7580,1935,19.553258895874023
7590,2000,26.560020446777344
7600,2039,23.955947875976563
7610,1993,15.431693077087402
7620,1992,19.992677688598633
7630,1932,14.05505657196045
7640,1947,21.56195640563965
7650,1869,12.243587493896484
7660,1817,14.824331283569336
7670,1815,19.853981018066406
7680,1766,15.160703659057617
7690,1743,17.74955940246582
7700,1728,18.506349563598633
7710,1730,20.207763671875
7720,1690,16.06646156311035
7730,1703,21.37358856201172
7740,1739,23.61451530456543
7750,1726,18.774433135986328
7760,1685,15.94235897064209
7770,1675,19.055736541748047
7780,1675,20.033313751220703
7790,1666,19.111921310424805
7800,1637,17.149734497070313
7810,1588,15.106435775756836
7820,1604,21.60382652282715
7830,1611,20.773265838623047
7840,1608,19.75008773803711
7850,1611,20.376462936401367
7860,1599,18.876506805419922
7870,1563,16.433008193969727
7880,1552,18.94042205810547
7890,1511,15.946861267089844
7900,1534,22.34348487854004
7910,1588,25.475000381469727
7920,1564,17.637130737304688
7930,1564,20.045917510986328
7940,1539,17.533321380615234
7950,1507,16.850467681884766
7960,1492,18.506160736083984
7970,1424,13.204545021057129
7980,1432,20.84132194519043
7990,1467,23.500547409057617
8000,1485,21.895360946655273
8010,1528,24.322341918945313
8020,1502,17.449386596679688
8030,1462,16.087478637695313
8040,1444,18.24481964111328
8050,1439,19.589847564697266
8060,1493,25.46769905090332
8070,1483,19.069047927856445
8080,1489,20.615100860595703
8090,1417,12.853017807006836
8100,1428,21.172792434692383
8110,1431,20.331846237182617
8120,1455,22.492481231689453
8130,1458,20.389387130737305
8140,1491,23.394439697265625
8150,1517,22.635101318359375
8160,1525,20.808990478515625
8170,1500,17.544103622436523
8180,1460,16.002246856689453
8190,1435,17.526351928710938
8200,1428,19.366352081298828
